"ambientes";"property.surface_covered";"property.price";"property.surface_total";"year";"gimnasio";"cochera";"pileta";"precioM2";"precioM2Vecino";"X";"Y"
5;163;88000;163;2016;0;0;0;539.877300613497;1333.33333333333;2245207.7305418;6499437.35177288
1;52;78000;52;2016;0;0;0;1500;1813.95348837209;2243443.6533749;6497138.17519064
2;60;150000;70;2016;0;0;0;2500;1857.14285714286;2243617.56549103;6497197.97016887
2;145;2e+05;155;2016;0;1;1;1379.31034482759;1375;2237541.42343513;6504285.10708091
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
2;126;150000;108;2015;0;1;0;1190.47619047619;1402;2246616.04472821;6498967.1138255
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;45;51000;45;2016;0;0;0;1133.33333333333;1545.45454545455;2243615.75570076;6497894.27788656
3;172;210000;210;2016;0;1;0;1220.93023255814;1400;2243611.32575643;6498479.36792429
2;67;87000;72;2016;0;0;0;1298.50746268657;1835.44303797468;2243552.78975734;6497052.69914602
2;65;1e+05;80;2016;0;0;0;1538.46153846154;1857.14285714286;2243591.36384016;6496809.50529228
5;400;450000;1000;2015;0;1;1;1125;1026.49006622517;2238001.69212744;6506194.84554951
4;420;450000;1510;2015;0;1;1;1071.42857142857;1312.5;2244574.95622425;6500193.84427661
5;835;1200000;3070;2015;0;1;1;1437.12574850299;1441.63979732842;2245213.52800441;6491521.48865707
1;260;220000;350;2015;0;1;1;846.153846153846;1312.5;2244574.95622425;6500193.84427661
4;336;230000;372;2015;0;1;1;684.52380952381;733.333333333333;2246128.87386628;6496370.53848563
1;212;80000;272;2015;0;0;0;377.358490566038;1180;2245217.15987323;6500844.05974193
1;47;78000;52;2015;0;0;0;1659.57446808511;1887.84067085954;2244072.99364424;6497238.17979357
3;180;150000;260;2016;0;1;0;833.333333333333;1485.19283746556;2241011.22025566;6501249.83776511
1;45;105000;45;2016;0;0;0;2333.33333333333;929.411764705882;2240273.27413192;6504655.19952528
1;60;82000;70;2015;0;1;1;1366.66666666667;1702.12765957447;2245707.59359584;6498613.24596713
1;53;69000;57;2015;0;0;0;1301.88679245283;1888.88888888889;2244104.86680133;6497319.45826222
2;170;220000;1000;2016;0;1;1;1294.11764705882;1235.29411764706;2234949.10498456;6506032.20836326
2;82;115000;60;2016;1;0;1;1402.43902439024;1700;2245903.82512181;6498425.8395149
