"VIVIENDA_REF_ID";"RADIO_REF_ID";"TIPVV";"V01";"V02";"V00";"URP";"INCALSERV";"INMAT";"MUNI";"LOCAL";"INCALCONS";"TOTHOG"
10844560;40981;1;1;1;0;2;3;2;580210028;58021010;2;1
10844431;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844006;40972;1;1;1;0;3;3;1;580210000;58021000;3;1
10844372;40980;1;1;1;0;2;3;2;580210028;58021010;2;1
10844625;40981;1;1;1;0;2;3;1;580210028;58021010;1;1
10844403;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844265;40977;1;1;1;0;3;3;4;580210000;58021000;3;1
10843948;40971;1;1;1;0;3;3;3;580215154;58021000;3;1
10844346;40979;1;1;1;0;3;3;2;580215028;58021000;2;1
10844277;40977;1;2;1;0;3;3;2;580210000;58021000;3;1
10844662;40981;1;1;1;0;2;3;1;580210028;58021010;1;1
10844456;40981;1;1;1;0;2;3;2;580210028;58021010;2;1
10844639;40981;1;1;1;0;2;3;2;580210028;58021010;2;1
10844547;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844167;40974;1;1;1;0;3;3;3;580210000;58021000;3;2
10844178;40974;1;1;1;0;3;3;2;580210000;58021000;2;1
10844146;40974;1;2;1;0;3;3;4;580210000;58021000;3;1
10844561;40981;1;1;1;0;2;3;1;580210028;58021010;1;1
10844042;40972;1;1;1;0;3;3;1;580210000;58021000;1;1
10844527;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844645;40981;1;1;1;0;2;2;3;580210028;58021010;3;1
10844441;40981;1;1;1;0;2;2;3;580210028;58021010;2;1
10844010;40972;1;1;1;0;3;3;1;580210000;58021000;3;1
10843952;40971;1;1;1;0;3;3;2;580215154;58021000;3;1
10843945;40970;1;2;1;0;3;3;4;580210000;58021000;3;1
10844497;40981;1;1;1;0;2;3;3;580210028;58021010;3;1
10843943;40970;1;1;1;0;3;3;2;580210000;58021000;2;1
10844059;40972;1;1;1;0;3;3;2;580210000;58021000;3;1
10844674;40981;1;1;1;0;2;2;1;580210028;58021010;1;1
10844318;40978;1;1;1;0;3;3;2;580210000;58021000;2;1
10844055;40972;1;1;1;0;3;3;4;580210000;58021000;3;1
10843932;40970;1;1;1;0;3;3;2;580210000;58021000;3;1
10844089;40973;1;1;1;0;3;3;3;580210000;58021000;3;1
10844193;40974;1;1;1;0;3;3;2;580210000;58021000;2;1
